#,RefDes,Value,Name,Pattern,Quantity,Description,Part Weblink,Alternate Part
1,"C1, C2, C3",0.1u,CAP_0805,CAP_0805,3,">= 6V, 10%",,
2,"C4, C5",10u,Capacitor_Pol_SMD1206,CAP_1206,2,"Tantalum >= 6V, 10%",,
3,"C6, C7",20p,CAP_0805,CAP_0805,2,">= 6V, 10%",,
4,D1,POWER,DIO_LED_1,DIO_0805,1,SMD LED,,
5,D2,RUN,DIO_LED_1,DIO_0805,1,SMD LED,,
6,D3,CONNECT,DIO_LED_1,DIO_0805,1,SMD LED,,
7,D4,TARGET,DIO_LED_1,DIO_0805,1,SMD LED,,
8,"J1, J2",,HDR-1x8,HDR-1x8,2,2.54mm pitch Header,,
9,J3,,MicroUSB,MicroUSB_B,1,Sunrom Model 4358,https://www.sunrom.com/m/4358,
10,J4,,Cortex JTAG SWD Debug ,HDR-2x5S/1.27x1.27/6x6,1,1.27mm pitch IDC ,,
11,J5,,HDR-1x3,HDR-1x3,1,2.54mm pitch Header,,
12,"R1, R2, R3",0,RES_0805,RES_0805_MARKED,3,"<= 5%, 125mW",,
13,"R4, R5, R6, R7",330,RES_0805,RES_0805_MARKED,4,"<= 5%, 125mW",,
14,SB1,,Solder_Bridge_3P,Solder_Bridge_SMD_3P,1,Solder Bridge,,
15,SW1,,Tactile Switch  4388,3x6x2.5mm,1,Sunrom Model 4388,https://www.sunrom.com/m/4388,
16,U1,AMS1117-3.3,REG1117-3.3,SOT223-4,1,AMS1117-3.3,,
17,U2,,STM32F070F6Px,TSSOP-20,1,STM32F070F6P6,,
18,Y1,8MHz,HC49/4H_SMX,HC-49,1,FOXSDLF/080-20,,
